id;created_at;open;close;high;low;volume;reversal;best_bid_price;best_bid_quantity;best_ask_price;best_ask_quantity;spread;spread_percentage;bid_liquidity;ask_liquidity;total_liquidity;imbalance;weighted_mid_price
4934;2025-09-07 17:18:30.913657+00;111050.00;111040.00;111050.00;111040.00;588029.83;;111057.28;9.25;111057.29;1.47;0.01;0.0000;1032007.49;196812.59;1228820.08;67.9672;111057.29
4935;2025-09-07 17:18:31.03297+00;111040.00;111030.00;111040.00;111030.00;40723.96;;111057.28;9.25;111057.29;1.47;0.01;0.0000;1032007.49;196812.59;1228820.08;67.9672;111057.29
4936;2025-09-07 17:19:12.066689+00;111030.00;111020.00;111030.00;111020.00;197741.53;;111021.02;0.29;111021.03;14.21;0.01;0.0000;39452.39;1582316.13;1621768.52;-95.1346;111021.02
4937;2025-09-07 17:19:25.574004+00;111020.00;111010.00;111020.00;111010.00;181190.93;;111014.25;0.27;111014.26;14.31;0.01;0.0000;30541.13;1603935.20;1634476.33;-96.2629;111014.25
4938;2025-09-07 17:19:35.223419+00;111010.00;111000.00;111010.00;111000.00;141191.62;;111001.00;0.97;111001.01;12.84;0.01;0.0000;107611.03;1441833.27;1549444.30;-86.1097;111001.00
4939;2025-09-07 17:19:35.63338+00;111000.00;110990.00;111000.00;110990.00;246710.38;;110988.00;0.19;110988.01;10.53;0.01;0.0000;21711.47;1332919.90;1354631.37;-96.7945;110988.00
4940;2025-09-07 17:19:36.447189+00;110990.00;110980.00;110990.00;110980.00;19685.02;;110980.45;0.27;110980.46;13.82;0.01;0.0000;31931.29;1594913.62;1626844.91;-96.0745;110980.45
4941;2025-09-07 17:19:37.713697+00;110980.00;110990.00;110990.00;110980.00;1236629.71;1;110974.08;0.21;110974.09;10.56;0.01;0.0000;23247.96;1226262.77;1249510.73;-96.2789;110974.08
4942;2025-09-07 17:19:37.721768+00;110990.00;111000.00;111000.00;110990.00;5.55;;110974.08;0.21;110974.09;10.56;0.01;0.0000;23247.96;1226262.77;1249510.73;-96.2789;110974.08
4943;2025-09-07 17:19:51.25392+00;111000.00;110990.00;111000.00;110990.00;75395.20;-1;110982.53;1.00;110982.54;8.08;0.01;0.0000;111787.15;901745.35;1013532.50;-77.9411;110982.53
4944;2025-09-07 17:19:51.34562+00;110990.00;110980.00;110990.00;110980.00;1466.05;;110982.53;1.00;110982.54;8.08;0.01;0.0000;111787.15;901745.35;1013532.50;-77.9411;110982.53
4945;2025-09-07 17:19:55.328967+00;110980.00;110970.00;110980.00;110970.00;24848.41;;110971.80;0.05;110971.81;18.29;0.01;0.0000;5568.56;2359869.95;2365438.51;-99.5292;110971.80
4946;2025-09-07 17:20:07.529279+00;110970.00;110960.00;110970.00;110960.00;77470.16;;110963.83;1.29;110963.84;6.80;0.01;0.0000;143667.09;792462.81;936129.90;-69.3062;110963.83
4947;2025-09-07 17:20:18.007986+00;110960.00;110970.00;110970.00;110960.00;407812.69;1;110971.80;12.40;110971.81;1.12;0.01;0.0000;1432141.82;145293.17;1577434.99;81.5786;110971.81
4948;2025-09-07 17:20:18.00857+00;110970.00;110980.00;110980.00;110970.00;14.43;;110971.80;12.40;110971.81;1.12;0.01;0.0000;1432141.82;145293.17;1577434.99;81.5786;110971.81
4949;2025-09-07 17:20:18.706281+00;110980.00;110990.00;110990.00;110980.00;256035.94;;110982.53;10.49;110982.54;0.96;0.01;0.0000;1173036.50;106954.98;1279991.48;83.2882;110982.54
4950;2025-09-07 17:20:18.907195+00;110990.00;111000.00;111000.00;110990.00;12634.88;;110982.53;10.49;110982.54;0.96;0.01;0.0000;1173036.50;106954.98;1279991.48;83.2882;110982.54
4951;2025-09-07 17:20:27.167495+00;111000.00;110990.00;111000.00;110990.00;373376.98;-1;111002.51;2.42;111002.52;4.86;0.01;0.0000;268260.88;547896.25;816157.13;-34.2624;111002.51
4952;2025-09-07 17:20:27.17452+00;110990.00;110980.00;110990.00;110980.00;5.55;;111002.51;2.42;111002.52;4.86;0.01;0.0000;268260.88;547896.25;816157.13;-34.2624;111002.51
4953;2025-09-07 17:20:27.472436+00;110980.00;110970.00;110980.00;110970.00;36593.16;;110972.41;0.16;110972.42;12.55;0.01;0.0000;17871.00;1504777.17;1522648.17;-97.6526;110972.41
4954;2025-09-07 17:20:30.124222+00;110970.00;110960.00;110970.00;110960.00;8660.73;;110960.00;0.07;110960.01;12.96;0.01;0.0000;9959.77;1654161.38;1664121.15;-98.8030;110960.00
4955;2025-09-07 17:20:32.539206+00;110960.00;110950.00;110960.00;110950.00;53314.43;;110960.00;0.07;110960.01;12.95;0.01;0.0000;10146.18;1653269.26;1663415.44;-98.7801;110960.00
